,publisher,synopsis,language,image,title_long,edition,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,related
29,Random House Trade Paperbacks,"<p>A first novel of startling scope and ambition, <b>Prague</b> depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune financial, romantic, and spiritual in an exotic city newly opened to the West.</p><h3>Book Magazine</h3><p>Prague is one of the best first novels I've read in several years. It is also one of the most challenging, for Arthur Phillips reworks the nineteenth-century international novel, the setting-saturated, character-centered, slow-moving form practiced by Henry James. Readers used to the action-oriented plots that drive much of the contemporary fiction about Americans abroad will need to adjust to the more complex and more subtle intertwining of stories that Phillips presents. Like the old and beautiful city for which the novel is named, Prague requires and rewards leisurely exploration. <BR> <BR> Prague opens in Budapest in May 1990. Five North Americans in their mid- to late twenties sit in a cafe and play Sincerity, a game in which each participant makes five statements others have to judge as true or false. What the characters state about themselves and how they respond to their friends set up an immediately interesting dynamic that Phillips complicates and then extends by bringing other people into the initial group. ""Somehow this one game of Sincerity becomes the distilled recollection of a much longer series of events,"" Phillips writes. ""It persistently rises to the surface of your memory&#151;that afternoon when you fell in love with a person or a place or a mood, when you savored the power of fooling everyone, when you discovered some great truth about the world."" <BR> <BR> Charles Gabor, master of Sincerity and insincerity, is a Hungarian-American venture capitalist bottom-feeding in the newly open economy. Mark Payton, who recently earned a doctorate in cultural studies, is passionately committed to his scholarly analysis of nostalgia in different cultures. Emily Oliver, alow-level employee at the American Embassy, says she's incapable of lying. Scott Price, a California health faddist teaching English, is a master of irony. His younger brother John, a recent arrival who becomes a columnist for the English-language newspaper, is Phillips' focal character, a person who oscillates between sincerity and insincerity. <BR> <BR> In this novel about the search for authenticity, all five of the main characters have secret desires that move them and the book forward. Charles plots the takeover of a small Hungarian publisher for himself, not for his firm. Mark pursues other men. The wholesome Nebraska-bred Emily has a lesbian liaison. And always-flippant Scott turns out to be seriously engaged with a Hungarian woman. <BR> <BR> John Price is more complicated. Although he moons over Emily, he has sex with several other women, including his brother's girlfriend. John follows Mark's lead in studying old Budapest, yet helps Charles plot against the hoary publisher who symbolizes the city's history. Toward the end, the business takeover provides some conventional suspense; but the characters' changing responses to one another and to a closely observed setting are the author's primary interests and, in turn, become the reader's. <BR> <BR> Phillips has said he suffers from ""hyperglycemic nostalgia,"" and Prague longs for the ""seriousness""&#151;a key word in the book&#151;of nineteenth-century fiction. Phillips narrates the story omnisciently and persistently, usually choosing indirect discourse over dialogue. The effect is authorial high seriousness, but with a touch of haughty superiority. The characters don't seem to satisfy their creator, not even the ""authentic"" Hungarians, not the aged publisher Imre Horvath, not the elderly jazz pianist Nadja. Their history as victims of both Nazis and communists gives them an initial appeal that Phillips diminishes as they become self-promoting windbags, perhaps to impress the outsiders. <BR> <BR> If Budapest can't measure up to Prague (a place the characters never go), and if Phillips' characters can't measure up to his ideal of authentic living, I can say&#151;as a part-time resident of a Balkan country&#151;that Phillips gets just right the eccentricities of an expatriate community. Living at the edge of familiar European culture makes his characters intensely conscious of themselves and their friends. Most enjoy being ""exotic"" without doing anything to earn that label. English teacher Scott knows no Hungarian and takes pleasure from living outside of language. Several characters suffer from the dread ""Visiting Family Syndrome"" that takes them away from their friends. Those in the country for six months resent recent arrivals, and anyone with an apartment mocks tourists. In one of the novel's great comic moments, Charles, Mark and John give a student travel writer a mass of specious information about ""authentic"" Budapest destinations. <BR> <BR> Phillips also finds inventive ways of presenting Hungarian history that contrasts with the shallow pasts of his North American characters. The 200-year-old publishing firm, which did business with a succession of governments, represents Hungarian political life. Buildings that the characters live in or move among still have bullet marks from the 1956 ""revolution,"" and the old pianist Nadja tells stories of Hungarians who were frequently forced into exile. Phillips' characters keep saying Budapest is no Prague, but Phillips makes the city as fascinating to readers as Prague is to his characters. <BR> <BR> At 380 densely printed pages, Prague is unusually long for a first novel by an unknown writer. To do full justice to its numerous characters, it needed to be longer yet. The Americans compare themselves to the Lost Generation of Americans in Paris in the '20s, but Phillips is too serious a writer to engage in this kind of shortcut, group characterization. <BR> <BR> Although Phillips knows&#151;as a resident alien, as a novelist&#151;that authenticity is earned, he or his editor didn't allow Prague the space to fully become what it initially promised to be. But Phillips promises to be a strong new American voice, and Prague is the largest-minded first novel since Mark Z. Danielewski's audacious House of Leaves in 2000.<BR></p>",en,https://images.isbndb.com/covers/97/72/9780375759772.jpg,Prague: A Novel,Reprint,"Height: 8.02 Inches, Length: 5.17 Inches, Weight: 0.64 Pounds, Width: 0.83 Inches",400.0,2003,,"['Phillips, Arthur']",Prague: A Novel,9780375759772,17,Paperback,0375759778,0375759778,,
30,Avon Books,,en,https://images.isbndb.com/covers/58/93/9780380715893.jpg,A Soldier of the Great War,First Printing,"Height: 7 Inches, Length: 4.25 Inches, Weight: 0.80027801106 Pounds, Width: 1.25 Inches",736.0,1992,,"['Helprin, Mark']",A Soldier of the Great War,9780380715893,7.99,Paperback,0380715899,0380715899,,
31,Avon,"A most unusual death has landed Helma Zukas right in the middle of another murder scene. Stanley Plummer has been cataloging a collection of Native American books for Bellehaven's new cultural Center when his body was found in the Center's ladies room - stabbed through his heart, and clutching a Barbie doll.Miss Zukas is asked by the library to finish the cataloging. Now she's been asked by the victim - in a letter dated the day he died - to get to the bottom of the mystery.<p>Unable to resist the urge to dig into the facts, Helma becomes convinced there's something hidden in the Center that the murder wants - and it may be worth killing another cataloger to keep it buried...</p><p>Author Biography: Jo Dereske grew up in western Michigan and is a former librarian who now lives with her husband in the northwest corner of Washington state. She is currently at work on the sixth book in the Miss Zukas series.</p>",en,https://images.isbndb.com/covers/24/37/9780380782437.jpg,Miss Zukas and the Raven's Dance (I Love the Miss Zukas Mysteries),,"Height: 6.875 Inches, Length: 4.1875 Inches, Weight: 0.3 Pounds, Width: 0.64 Inches",256.0,1996,"['Detective Fiction', 'Teen Fiction - Mysteries & Thrillers', 'Women Detectives - Fiction', 'Occupations - Fiction']","['Dereske, Jo']",Miss Zukas and the Raven's Dance (I Love the Miss Zukas Mysteries),9780380782437,1.99,Mass Market Paperback,038078243X,038078243X,,
32,W W Norton & Co Inc,"<p>Some of Ürümchi's mummies date back as far as 4,000 years—contemporary with the famous Egyptian mummies but even more beautifully preserved. Surprisingly, these prehistoric people are not Asian but Caucasoid—tall, large-nosed and blond with thick beards and round eyes. What were these blond Caucasians doing in the heart of Asia? What language did they speak? Might they be related to a ""lost tribe"" known from later inscriptions? Few clues are offered by their pottery or tools, but their <b>clothes</b>—woolens that rarely survive more than a few centuries—have been preserved as brightly hued as the day they were woven. Elizabeth Wayland Barber describes these remarkable mummies and their clothing, and deduces their path to this remote, forbidding place. The result is a book like no other—a fascinating unveiling of an ancient, exotic, nearly forgotten world. A finalist for the Kiriyama Pacific Rim Book Prize.</p>",en,https://images.isbndb.com/covers/52/15/9780393045215.jpg,The Mummies of Urumchi,1,"Height: 9.75 Inches, Length: 7.5 Inches, Weight: 3 Pounds, Width: 1 Inches",240.0,1999,"['Mummies', 'Bronze Age', 'Textile Fabrics, Prehistoric', 'Antiquities']","['Barber, Elizabeth Wayland']",The Mummies of Urumchi,9780393045215,35,Hardcover,0393045218,0393045218,,
33,Random House,,en,https://images.isbndb.com/covers/37/45/9780394743745.jpg,The yawning heights,1st Vintage Books ed,,828.0,1980,,"['Zinoviev, Aleksandr']",The yawning heights,9780394743745,0.00,Loose Leaf,0394743741,0394743741,,
34,Laurel Leaf,"In Nineteenth-century London, Sixteen-year-old Sally, A Recent Orphan, Becomes Involved In A Deadly Search For A Mysterious Ruby. Philip Pullman. Originally Published: [new York] : Alfred A. Knopf, C1985. Subtitle From Cover. Sequel: The Shadow In The North.",en,https://images.isbndb.com/covers/58/95/9780394895895.jpg,The Ruby in the Smoke: A Sally Lockhart Mystery,,"Height: 6.89 Inches, Length: 4.23 Inches, Weight: 0.28 Pounds, Width: 0.68 Inches",240.0,1988,"['Lockhart, Sally (Fictitious character)', 'Lockhart, Sally (Fictitious character)--Juvenile fiction', 'Orphans', 'Orphans--Juvenile fiction', 'PZ7.P968 Ru 2004', '[Fic]']","['Pullman, Philip']",The Ruby in the Smoke: A Sally Lockhart Mystery,9780394895895,0.00,Mass Market Paperback,0394895894,0394895894,,
35,G. P. Putnam's Sons,,en,https://images.isbndb.com/covers/57/81/9780399135781.jpg,The Kitchen God's Wife,1st,"Height: 6.3 Inches, Length: 9.34 Inches, Weight: 1.05 Pounds, Width: 1.47 Inches",415.0,1991,,"['Tan, Amy']",The Kitchen God's Wife,9780399135781,22.95,Hardcover,0399135782,0399135782,,
36,Berkley,,en,https://images.isbndb.com/covers/77/43/9780425117743.jpg,Breathing Lessons,Reissue,"Height: 6.72 Inches, Length: 4.38 Inches, Weight: 0.42 Pounds, Width: 0.99 Inches",352.0,1989,"[""Children's Fiction"", 'People & Places']","['Tyler, Anne']",Breathing Lessons,9780425117743,0.00,Mass Market Paperback,042511774X,042511774X,,
37,Berkley Trade,,en,https://images.isbndb.com/covers/30/92/9780425163092.jpg,Chocolate Jesus,"Berkley trade pbk. ed., Berkley signature ed","Height: 8 Inches, Length: 5.18 Inches, Weight: 0.50044933474 Pounds, Width: 0.75 Inches",249.0,1998,,"['Jaramillo, Stephen']",Chocolate Jesus,9780425163092,0.00,Mass Market Paperback,0425163091,0425163091,,
38,Berkley,"<p>Historians and inquisitive laymen alike love to ponder the dramatic what-its of history. In these twenty never-before-published essays, some of the keenest minds of our time ask the big, tantalizing questions&#58; Where might we be if history had not unfolded the way it did? Why, how, and when was our fortune made real? The answers are surprising, sometimes frightening, and always entertaining.. ""In addition to the essays, fifteen sidebars by such authors as Caleb Carr, Tom Wicker, David Fromkin, and Ted Morgan illuminate in brief other world-changing episodes.</p> <h3>Chronicles of High Education</h3> <p>If rain, wind, and fog had not aided the Continental Army's desperate escape across the East River one night in August 1776, would we now be singing ""God Save the Queen"" at ball games? <P>For Robert Cowley thinks that ""counterfactuals,"" scenarios of how the course of history might have changed if some key event had unfolded differently. So he enticed 34 historians to contribute to a new book of essays: What If? The World's Foremost Military Historians Imagine What Might Have Been.</p>",en,https://images.isbndb.com/covers/64/29/9780425176429.jpg,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Illustrated,"Height: 9 Inches, Length: 6 Inches, Weight: 0.98 Pounds, Width: 0.9 Inches",416.0,2000,,[],What If?: The World's Foremost Military Historians Imagine What Might Have Been,9780425176429,14.98,Paperback,0425176428,0425176428,"[{'isbn': '9781101118917', 'binding': 'print'}]",{'ePub': '1101118911'}
39,Berkley,"<p>Patricia Cornwell’s novels of big-city police have taken this classic genre to a new level. Now, with this #1 New York Times bestselling novel, she outdoes herself, with a wry tale of life and turmoil behind the blue wall.</p>
<p>Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in Chesapeake Bay, responds by declaring war on its own state. Judy Hammer, newly installed as the superintendent of the Virginia State Police, and Andy Brazil, a state trooper and Hammer’s right hand and confidant, find themselves at their wits’ end as they try to protect the public from the politicians—and vice versa—in this pitch-perfect, darkly comic romp.</p>


                        <p>Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, warning that speeders will be caught by monitoring aircraft flying overhead. But the eccentric Isle of Tangier, fourteen miles off the coast of Virginia in the Chesapeake Bay, responds by declaring war on its own state.
</p>",en,https://images.isbndb.com/covers/29/01/9780425182901.jpg,Isle of Dogs (Andy Brazil),,"Height: 6.8 Inches, Length: 4.2 Inches, Weight: 0.45 Pounds, Width: 1.1 Inches",432.0,2002,,"['Cornwell, Patricia']",Isle of Dogs (Andy Brazil),9780425182901,7.99,Mass Market Paperback,0425182908,0425182908,"[{'isbn': '9781101204023', 'binding': 'print'}]","{'Kindle Edition': '1101204028', 'ePub': '1101204028'}"
40,Berkley,"<p><p>louie Cogburn Had Spent Three Days Holed Up In His Apartment, Staring At His Computer Screen. His Pounding Headache Was Unbearable - Like Spikes Drilling Into His Brain. And It Was Getting Worse. Finally, When Someone Knocked At His Door, Louie Picked Up A Baseball Bat, Opened The Door, And Started Swinging...<p>the First Cop On The Scene Fired His Stunner Twice And Louie Died Instantly. Detective Eve Dallas Has Taken Over The Investigation, But There's Nothing To Explain The Man's Sudden Rage Or Death. The Only Clue Is A Bizarre Message Left On His Computer Screen&#58; Absolute Purity Achieved.<p>and When A Second Man Dies Under Nearly Identical Circumstances, Dallas Starts Racking Her Brain For Answers And For Courage To Face The Impossible...that This Might Be A Computer Virus Able To Spread From Machine To Man...</p><h3>publishers Weekly</h3><p>a Sick Computer Can And Does Infect Other Computers, But Not Its Operator, Claims Roarke, Dreamboat Husband Of New York's Hotshot Futuristic Cop, Lieutenant Eve Dallas, In The 15th Installment In Robb's `death' Series (after <i>reunion In Death</i>). Roarke's Theory Is Put To The Test When Pedophiles And Drug Dealers Begin Dying From A Computer-generated Virus That Literally Blows The Mind Of Its Victims. It Doesn't Take Long For Eve To Figure Out That A Vigilante Terrorist Organization With Superior Tech Knowledge Is Meting Out Its Own Form Of Justice The Group Even Leaves The Message Absolute Purity Achieved On Victims' Computer Screens. Pinpointing The Group Is More Of A Challenge. Suspects Could Be Anyone From Members Of The Justice System To Formerly Abused Children, The Latter Of Which Strikes A Personal And Painful Nerve In Eve, Who Was Abused As A Child. Readers Familiar With Eve's History And The Sea Of Characters Brought Over From Her Previous Books Will Be More Comfortable Than First- Timers Attempting To Wade Through This Sluggish Installment. Despite Robb's Smooth-as-glass Prose, Her Latest Isn't Likely To Win New Converts To The Series. Copyright 2002 Cahners Business Information.</p>",en,https://images.isbndb.com/covers/63/05/9780425186305.jpg,Purity in Death,Berkley Ed.,"Height: 6.75 Inches, Length: 4.18 Inches, Weight: 0.4 Pounds, Width: 0.91 Inches",368.0,2002,"['Mystery & Crime', 'Science Fiction & Fantasy']","['Robb, J. D.']",Purity in Death,9780425186305,7.99,Mass Market Paperback,042518630X,042518630X,"[{'isbn': '9781101204245', 'binding': 'print'}]",{'Kindle Edition': '1101204249'}
41,Scholastic Paperbacks,"As Explained By The Kids Themselves, This Book Offers A Collection Of True Stories That Deal With Moments Of Embarrassment And Awkwardness While Providing Tips And Advice On How To Handle Such Difficult Situations When They Arise. Original.",en,https://images.isbndb.com/covers/50/20/9780439095020.jpg,Tell Me This Isn't Happening,,"Height: 6.75 Inches, Length: 4.25 Inches, Weight: 0.2 Pounds, Width: 0.5 Inches",170.0,1999,"['Embarrassment In Children', 'Embarrassment', 'Self-esteem', 'Emotions']","['Clairday, Robynn.']",Tell Me This Isn't Happening,9780439095020,4.5,Paperback,0439095026,0439095026,,
42,Dell,"<p><P>From the <i>New York Times</i> bestselling author of <i>Circle of Friends, The Glass Lake,</i> and <i>Evening Class</i> comes a stunning collection of fifteen Christmas stories filled with Maeve Binchy's trademark wit, charm, and sheer storytelling genius.&#160;&#160;In &quot;A Typical Irish Christmas,&quot; a grieving widower heads for a holiday in Ireland and finds an unexpected destination not just for himself, but for a father and daughter in crisis. . . .&#160;&#160;In &quot;Pulling Together,&quot; a teacher not yet out of her twenties sees her affair with a married man at a turning point as Christmas Eve approaches. . . .&#160;&#160;And in the title story, &quot;This Year It Will Be Different,&quot; a woman with a complacent husband and grown children enters a season that will forever alter her life, and theirs. . . <P>These stories, and a dozen more, powerfully evoke many lives&#151;from step-families grappling with exes to children caught in grown-up tugs-of-war&#151;during the one holiday when feelings cannot be easily hidden.&#160;&#160;The time of year may be magical, imbued with meaning.&#160;&#160;But the situations are timeless.&#160;&#160;And Maeve Binchy makes us care about them all.</p><h3>Publishers Weekly</h3><p>That Binchy (<i>Circle of Friends</i>) would choose to enter the Christmas market should not be a surprise. Her wide audience enjoys the warmth of her fiction, the emphasis on the power of love to transform ordinary lives even as she acknowledges that for some people, love is elusive or the prelude to frustration and heartbreak. Here she presents 15 short stories that take place during the holiday season; all display her deft rendering of family relationships and the stresses of contemporary life. Unfortunately, however, these tales are formulaic and superficial. We meet women unable to spend Christmas with their married men, children from broken homes, aged parents for whom Christmas is an ordeal rather than a pleasure, couples trying to resolve the past, lonely souls looking for a future. Several stories feature second wives whose husbands are oblivious to the machinations of their (always beautiful but selfish) first spouses. While the characters and their predicaments are potentially interesting, as soon as her narratives begin to develop, Binchy catapults forward to disappointingly simplistic endings. Readers will yearn for more: more character development, more detail, less fast-forwarding, fewer perky or maudlin conclusions. These tales are fine for a fast read during a busy season, but many will wish that Binchy had instead developed one of them into a novel that would do justice to her characters and themes. (Nov.)</p>",en,https://images.isbndb.com/covers/35/73/9780440223573.jpg,"This Year It Will Be Different, and other stories",Reprint,"Height: 6.9 Inches, Length: 4.15 Inches, Weight: 0.39903669422 Pounds, Width: 0.75 Inches",259.0,1997,['English Christmas stories'],"['Binchy, Maeve']","This Year It Will Be Different, and other stories",9780440223573,7.99,Mass Market Paperback,0440223571,0440223571,,
43,Dell,"<p><p>Michael was in a hurry. He was scrambling up the ladder at Drake & Sweeney, a giant D.C. firm with eight hundred lawyers. The money was good and getting better; a partnership was three years away. He was a rising star with no time to waste, no time to stop, no time to toss a few coins into the cups of panhandlers. No time for a conscience. But a violent encounter with a homeless man stopped him cold. Michael survived; his assailant did not. Who was this man? Michael did some digging, and learned that he was a mentally ill veteran who'd been in and out of shelters for many years. Then Michael dug a little deeper, and found a dirty secret, and the secret involved Drake & Sweeney.</p><h3>People Magazine</h3><p>Enough plot zigzags to keep readers happily hooked.</p>",en,https://images.isbndb.com/covers/57/06/9780440225706.jpg,The Street Lawyer,Reprint,"Height: 6.9 Inches, Length: 4.15 Inches, Weight: 0.5 Pounds, Width: 1.25 Inches",464.0,1999,,"['Grisham, John']",The Street Lawyer,9780440225706,7.99,Mass Market Paperback,0440225701,0440225701,"[{'isbn': '9780307576088', 'binding': 'print'}]","{'Kindle Edition': '0307576086', 'ePub': '0307576086'}"
44,Dell,"<p>EAN 9780385493826 is a gorgeous edition of John Grisham's <i>The Testament</i>, which is leather-bound, slipcased, signed, numbered, and includes marbled end papers, is a major collector's item and will be treasured for years to come by all who are fans of John Grisham's work. Now is your chance to own this long-lasting treasure from one of the most beloved novelists of our time.</p> <h3>The New York Times Book Review - Carol Peace Robins</h3> <p>...Entertaining....But don't expect eloquence.</p>",en,https://images.isbndb.com/covers/47/46/9780440234746.jpg,The Testament,,"Height: 6.88 Inches, Length: 4.08 Inches, Weight: 0.55 Pounds, Width: 1.18 Inches",544.0,1999,,"['Grisham, John']",The Testament,9780440234746,0.00,Mass Market Paperback,0440234743,0440234743,,
45,Ace,"<p>In one of Robert Heinlein's most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind's most frightening enemy.</p>


                        <p>With Earth embroiled in a vast interplanetary war with the ""Bugs,"" a young recruit in the Federal Reserves relates his experiences training in boot camp and as a junior officer in the Terran Mobile Infantry.
</p>",en,https://images.isbndb.com/covers/35/88/9780441783588.jpg,Starship Troopers,Reissue,"Height: 7.5 Inches, Length: 4.25 Inches, Weight: 0.29321480846 Pounds, Width: 0.92 Inches",263.0,1987,,"['Heinlein, Robert A.']",Starship Troopers,9780441783588,9.99,Paperback,0441783589,0441783589,"[{'isbn': '9781101500422', 'binding': 'print'}]","{'Kindle Edition': '1101500425', 'ePub': '1101500425'}"
46,Grand Central Publishing,"The Unforgettable Novel Of A Childhood In A Sleepy Southern Town And The Crisis Of Conscience That Rocked It, To Kill A Mockingbird Became Both An Instant Bestseller And A Critical Success When It Was First Published In 1960. It Went On To Win The Pulitzer Prize In 1961 And Was Later Made Into An Academy Award-winning Film, Also A Classic. Compassionate, Dramatic, And Deeply Moving, To Kill A Mockingbird Takes Readers To The Roots Of Human Behavior - To Innocence And Experience, Kindness And Cruelty, Love And Hatred, Humor And Pathos. Now With Over 18 Million Copies In Print And Translated Into Forty Languages, This Regional Story By A Young Alabama Woman Claims Universal Appeal. Harper Lee Always Considered Her Book To Be A Simple Love Story. Today It Is Regarded As A Masterpiece Of American Literature.",en,https://images.isbndb.com/covers/07/89/9780446310789.jpg,To Kill a Mockingbird,Warner Books Ed.,"Height: 0.98425196850394 Inches, Length: 6.6929133858268 Inches, Weight: 0.4 Pounds, Width: 4.1338582677165 Inches",384.0,1988,"['fiction', 'fiction classics', 'contemporary fiction', 'racial segregation', 'mob mentality', 'Southern Gothic', 'southern life', 'racial injustice', 'class', 'courage', 'compassion', 'gender roles', 'laws', 'loss of innocence', 'rape trials', 'domestic fiction', 'legal stories', 'Bildungsromans', 'Race relations', 'Lawyers', 'Girls', 'Prejudices', 'Fathers and daughters', 'Trials (Rape)', 'Great Depression', 'African Americans', 'Father-daughter relationship,', 'Toleranz', 'Kind', 'American fiction (fictional works by one author)', 'Fiction, coming of age', 'Fiction, family life', 'Fiction, legal', 'Fathers and daughters, fiction', 'Southern states, fiction', 'Lawyers, fiction', 'African americans, fiction']",['Harper Lee'],To Kill a Mockingbird,9780446310789,0.00,Mass Market Paperback,0446310786,0446310786,"[{'isbn': '9780062368683', 'binding': 'print'}]",
47,Ballantine Books,"Seabiscuit was an unlikely champion: a roughhewn, undersized horse with a sad little tail and knees that wouldn't straighten all the way. But, thanks to the efforts of three men, Seabiscuit became one of the most spectacular performers in sports history. The rags-to-riches horse emerged as an American cultural icon, drawing an immense following and becoming the single biggest newsmaker of 1938 -- receiving more coverage than FDR or Hitler. Laura Hillenbrand beautifully renders this story of one horse's journey from also-ran to national luminary.

                        <p><b>Second-place winner of Barnes &amp; Noble's 2001 <a href=""http://www.barnesandnoble.com/awards/bndiscover.asp?sLinkPrefix"">Discover Great New Writers Award</a> for Nonfiction</b>
</p>",en,https://images.isbndb.com/covers/56/13/9780449005613.jpg,Seabiscuit: An American Legend,1,"Height: 8.2 Inches, Length: 5.51 Inches, Weight: 0.78 Pounds, Width: 0.93 Inches",399.0,2002,,['Laura Hillenbrand'],Seabiscuit: An American Legend,9780449005613,18,Paperback,0449005615,0449005615,"[{'isbn': '9780345467393', 'binding': 'printisbn'}]","{'Kindle Edition': '0345467396', 'ePub': '0345467396'}"
48,Signet,,en,https://images.isbndb.com/covers/58/85/9780451625885.jpg,The Prince,5th or later Edition,"Height: 5 Inches, Length: 7 Inches, Weight: 0.2 Pounds, Width: 1 Inches",,1952,,"['Machiavelli, Niccolo']",The Prince,9780451625885,1.75,Mass Market Paperback,0451625889,0451625889,,
49,Longman,,en,https://images.isbndb.com/covers/44/65/9780452264465.jpg,Beloved (Plume Contemporary Fiction),Reissue,"Height: 8 Inches, Length: 5.46 Inches, Weight: 0.57981574906 Pounds, Width: 0.67 Inches",288.0,1998,,"['Morrison, Toni']",Beloved (Plume Contemporary Fiction),9780452264465,6.67,Paperback,0452264464,0452264464,"[{'isbn': '9780307794802', 'binding': 'print'}]",
50,Bantam Books,,en,https://images.isbndb.com/covers/20/45/9780553062045.jpg,The Daybreakers,,Weight: 1.15 Pounds,100.0,1981,,"[""Louis L'Amour""]",The Daybreakers,9780553062045,0.00,Imitation Leather,0553062042,0553062042,,
51,Bantam Classics,,en,https://images.isbndb.com/covers/21/50/9780553212150.jpg,Pride and Prejudice,,Weight: 0.35 Pounds,295.0,1983,"['British and irish fiction (fictional works by one author)', 'Brothers and sisters', ""Children's fiction"", 'Courtship', 'Drama', 'English fiction', 'English literature', 'Families', 'Family', 'Family life', 'Family relations', 'Fiction', 'Fiction Classics', 'History', 'Interpersonal relations', 'Juvenile fiction', 'Literary Fiction', 'love stories', 'manners', 'Manners and customs', 'marriage', 'Romance', 'Sisters', 'Social classes', 'Social life and customs', 'Upper class', 'wealth', 'Women in England', 'young ladies', 'Young women', 'entail', 'Young women, fiction', 'Sisters, fiction', 'Fiction, family life, general', 'England, fiction', 'Man-woman relationships, fiction', 'Bennet, elizabeth (fictitious character), fiction', 'Darcy, fitzwilliam (fictitious character), fiction']","['Austen, Jane']",Pride and Prejudice,9780553212150,0.00,Mass Market Paperback,055321215X,055321215X,,
52,Bantam,,en,https://images.isbndb.com/covers/03/33/9780553280333.jpg,Getting Well Again: The Bestselling Classic About the Simontons' Revolutionary Lifesaving Self- Awareness Techniques,Reissue,"Height: 6.86 Inches, Length: 5.17 Inches, Weight: 0.33510263824 Pounds, Width: 0.8 Inches",304.0,1992,,"['Simonton M.D., O. Carl', 'Creighton Ph.D., James', 'Simonton, Stephanie Matthews', 'Matthews, Stephanie', 'Creighton, James L.']",Getting Well Again: The Bestselling Classic About the Simontons' Revolutionary Lifesaving Self- Awareness Techniques,9780553280333,7.99,Mass Market Paperback,0553280333,0553280333,"[{'isbn': '9780307427847', 'binding': 'printisbn'}]","{'Kindle Edition': '0307427846', 'ePub': '0307427846'}"
53,Bantam,"<p><p>his Birth Was Marked By Wonder And Tragedy <p>he Sees Beauty And Terror Beyond Our Deepest Dreams <p>his Story Will Change The Way You See The World <p>bartholomew Lampion Is Born On A Day Of Tragedy And Terror That Will Mark His Family Forever. All Agree That His Unusual Eyes Are The Most Beautiful They Have Ever Seen. On This Same Day, A Thousand Miles Away, A Ruthless Man Learns That He Has A Mortal Enemy Named Bartholomew. He Embarks On A Relentless Search To Find This Enemy, A Search That Will Consume His Life. And A Girl Is Born From A Brutal Rape, Her Destiny Mysteriously Linked To Barty And The Man Who Stalks Him. <p>at The Age Of Three, Barty Lampion Is Blinded When Surgeons Remove His Eyes To Save Him From A Fast-spreading Cancer. As He Copes With His Blindness And Proves To Be A Prodigy, His Mother Counsels Him That All Things Happen For A Reason And That Every Person S Life Has An Effect On Every Other Person S, In Often Unknowable Ways....</p><h3>science Fiction Chronicle - Don D'ammassa</h3><p>this Is A Conventional Serial Killer Story, But It's A Very Good One. </p>",en,https://images.isbndb.com/covers/27/41/9780553582741.jpg,From the Corner of His Eye,,"Height: 6.87 Inches, Length: 4.19 Inches, Weight: 0.85 Pounds, Width: 1.23 Inches",768.0,2001,"['Fiction', 'Teenage boys', 'Stalking victims', 'Vision', 'Suspense fiction', 'Large type books', 'New York Times reviewed']",['Dean Koontz'],From the Corner of His Eye,9780553582741,0.00,Mass Market Paperback,0553582747,0553582747,"[{'isbn': '9780307414137', 'binding': 'printisbn'}]","{'Kindle Edition': '0307414132', 'ePub': '0307414132'}"
54,Bantam,"<p><p>A stunning and suspenseful thriller, about humanity's continuous and sometimes futile battle against nature from one of the most popular and bestselling authors in America. <p>Conducting a strange and urgent experiment of the Arctic icefield, a team of scientists has planted sixty powerful explosive charges that will detonate at midnight. Before they can withdraw to the safety of the base camp, a shattering tidal wave breaks loose the ice on which they are working. Now they are hopelessly marooned on an iceberg during a violent winter storm. The bombs beneath them are buried irretrievable deep . . . and ticking. And they discover that one of them is an assassin with mission of his won. This is classic Koontz. <p>""Jammed with the tensions of imminent disaster. The whole thing unfolds with the timing of a quartz watch."" ?Chicago Tribune</p><h3>Chicago Tribune</h3><p>Jammed with the tensions of imminent disaster. The whole thing unfolds with the timing of a quartz watch.</p>",en,https://images.isbndb.com/covers/29/01/9780553582901.jpg,Icebound,BANTAM MAS,"Height: 6.83 Inches, Length: 4.24 Inches, Weight: 0.4 Pounds, Width: 1.08 Inches",416.0,2000,,"['Koontz, Dean']",Icebound,9780553582901,7.99,Mass Market Paperback,0553582909,0553582909,"[{'isbn': '9780307414151', 'binding': 'printisbn'}]","{'Kindle Edition': '0307414159', 'ePub': '0307414159'}"
